CustomerID,InvoiceNumberYear,LastInvoiceMonth,LastInvoiceMonthNb,MeanLinesPerInvoice,MeanQuantityPerInvoice,MeanAmountPerInvoice,TotalAmountSpent,cluster_k
12347,7,201112,0,26.0,351.14285714285717,615.7142857142857,4310.0,0
12348,4,201109,3,6.75,583.0,359.31,1437.24,4
12349,1,201111,1,72.0,630.0,1457.55,1457.55,7
12350,1,201102,10,16.0,196.0,294.40000000000003,294.40000000000003,1
12352,7,201111,1,10.0,66.14285714285714,180.77285714285713,1265.4099999999999,4
12353,1,201105,7,4.0,20.0,89.0,89.0,1
12354,1,201104,8,58.0,530.0,1079.4,1079.4,7
12355,1,201105,7,13.0,240.0,459.4,459.4,1
12356,3,201111,1,19.333333333333332,524.3333333333334,829.1433333333334,2487.4300000000003,0
12357,1,201111,1,131.0,2708.0,6207.669999999996,6207.669999999996,9
12358,2,201112,0,8.5,121.0,464.03,928.06,4
12359,4,201110,2,61.75,405.0,1585.67,6342.68,7
12360,3,201110,2,42.0,385.3333333333333,767.3533333333334,2302.06,0
12361,1,201102,10,9.0,90.0,174.89999999999998,174.89999999999998,1
12362,10,201112,0,25.3,219.0,468.838,4688.38,6
12363,2,201108,4,11.5,204.0,276.0,552.0,4
12364,4,201112,0,20.25,374.75,302.025,1208.1,4
12365,1,201102,10,21.0,173.0,320.69,320.69,1
12367,1,201112,0,10.0,172.0,150.9,150.9,4
12370,4,201110,2,41.5,587.5,856.4225000000001,3425.6900000000005,0
12371,1,201110,2,62.0,582.0,1527.9600000000003,1527.9600000000003,7
12372,3,201109,3,16.333333333333332,262.6666666666667,398.68,1196.04,4
12373,1,201102,10,13.0,196.0,324.6,324.6,1
12374,1,201111,1,32.0,339.0,622.93,622.93,0
12375,2,201111,1,7.5,88.0,188.75000000000003,377.50000000000006,4
12377,2,201101,11,38.0,471.0,774.0599999999998,1548.1199999999997,1
12378,1,201108,4,219.0,2529.0,4008.6200000000013,4008.6200000000013,9
12379,2,201109,3,19.0,201.0,388.62,777.24,4
12380,4,201111,1,25.0,277.5,606.9525,2427.81,0
12381,3,201112,0,27.0,261.6666666666667,486.60333333333324,1459.8099999999997,0
12383,5,201106,6,18.8,303.6,325.712,1628.56,1
12384,2,201111,1,12.5,61.0,212.635,425.27,4
12386,2,201101,11,5.0,177.0,200.95000000000002,401.90000000000003,1
12388,6,201111,1,16.666666666666668,243.66666666666666,463.4433333333334,2780.6600000000003,4
12390,1,201109,3,31.0,350.0,504.84,504.84,0
12391,1,201111,1,100.0,300.0,460.88999999999993,460.88999999999993,7
12393,4,201109,3,16.0,204.0,395.65000000000003,1582.6000000000001,4
12394,2,201110,2,12.5,404.0,540.24,1080.48,4
12395,12,201111,1,11.916666666666666,174.5,222.31499999999997,2667.7799999999997,6
12397,2,201111,1,62.0,625.0,1107.4499999999998,2214.8999999999996,7
12398,1,201110,2,84.0,1389.0,1435.6599999999999,1435.6599999999999,7
12399,4,201108,4,13.75,293.25,258.4125,1033.65,4
12401,1,201102,10,4.0,10.0,69.3,69.3,1
12402,1,201101,11,10.0,92.0,195.6,195.6,1
12403,1,201110,2,4.0,94.0,391.7,391.7,4
12405,1,201107,5,53.0,849.0,1390.3900000000006,1390.3900000000006,7
12406,2,201111,1,51.5,905.0,1647.8500000000004,3295.7000000000007,0
12407,5,201110,2,14.4,280.6,301.424,1507.12,4
12408,5,201111,1,20.2,278.2,523.7100000000002,2618.5500000000006,4
12409,2,201109,3,54.0,2775.0,5533.860000000001,11067.720000000001,9
12410,2,201102,10,12.5,103.5,266.66499999999996,533.3299999999999,1
12412,3,201109,3,19.333333333333332,274.6666666666667,380.96000000000004,1142.88,4
12413,3,201110,2,12.0,94.0,228.70000000000005,686.1000000000001,4
12414,3,201105,7,5.0,99.0,147.47,442.41,1
12415,19,201111,1,34.473684210526315,4069.8947368421054,6512.93052631579,123745.68000000002,9
12417,9,201112,0,20.22222222222222,169.55555555555554,356.2388888888889,3206.15,4
12418,1,201108,4,34.0,407.0,668.5799999999997,668.5799999999997,0
12420,1,201110,2,29.0,345.0,600.3900000000001,600.3900000000001,0
12421,4,201111,1,10.25,119.5,159.76000000000002,639.0400000000001,4
12422,3,201109,3,12.666666666666666,122.33333333333333,227.85333333333332,683.56,4
12423,8,201112,0,14.5,164.0,203.01375000000002,1624.1100000000001,4
12424,2,201106,6,15.0,370.0,880.4800000000001,1760.9600000000003,1
12425,1,201109,3,36.0,496.0,777.1999999999999,777.1999999999999,0
12426,1,201105,7,29.0,254.0,510.7299999999999,510.7299999999999,1
12427,3,201111,1,9.0,79.33333333333333,213.10666666666668,639.32,4
12428,8,201111,1,35.875,438.625,800.6574999999999,6405.259999999999,0
12429,4,201111,1,23.5,384.5,847.1,3388.4,0
12430,1,201110,2,10.0,116.0,216.4,216.4,4
12431,15,201111,1,15.4,191.13333333333333,421.09933333333333,6316.49,6
12432,4,201110,2,26.75,450.0,1089.8300000000002,4359.320000000001,0
12433,7,201112,0,60.0,1581.5714285714287,1910.8385714285719,13375.870000000003,7
12434,2,201109,3,24.5,193.0,396.4699999999999,792.9399999999998,4
12435,2,201109,3,18.0,1027.5,3914.9449999999997,7829.889999999999,9
12436,1,201109,3,15.0,209.0,429.01000000000005,429.01000000000005,4
12437,18,201112,0,10.166666666666666,160.5,244.0366666666666,4392.659999999999,6
12438,2,201111,1,48.0,584.5,1233.425,2466.85,0
12441,1,201100,12,10.0,120.0,155.55,155.55,1
12442,1,201112,0,11.0,181.0,144.06,144.06,4
12444,5,201111,1,34.6,226.4,817.0919999999999,4085.4599999999996,0
12445,1,201111,1,3.0,60.0,77.4,77.4,4
12446,1,201110,2,57.0,351.0,1002.3099999999998,1002.3099999999998,7
12447,1,201104,8,25.0,187.0,431.49,431.49,1
12448,1,201110,2,21.0,240.0,365.4500000000001,365.4500000000001,4
12449,4,201111,1,46.75,380.75,899.0725,3596.29,0
12450,2,201107,5,4.0,64.0,98.94,197.88,4
12451,5,201111,1,70.4,1290.8,1778.7039999999997,8893.519999999999,7
12452,1,201111,1,20.0,181.0,348.57000000000005,348.57000000000005,4
12453,1,201107,5,43.0,473.0,707.0899999999999,707.0899999999999,0
