Country,CustomerID,Description,InvoiceDate,InvoiceNo,Quantity,StockCode,UnitPrice
United Kingdom,customer25,PINK REGENCY TEACUP AND SAUCER,2018-04-19,70000,24,22698.0,2.95
United Kingdom,customer25,RIDGED GLASS POSY VASE ,2018-04-19,70000,3,21656.0,3.36
United Kingdom,customer25,SHOE SHINE BOX ,2018-04-19,70000,2,21784.0,9.95
United Kingdom,customer25,ROUND SNACK BOXES SET OF4 WOODLAND ,2018-04-19,70000,12,22326.0,2.95
United Kingdom,customer28,SET OF 6 T-LIGHTS EASTER CHICKS,2018-05-15,70001,4,22808.0,2.95
United Kingdom,customer28,SWEETHEART RECIPE BOOK STAND,2018-05-15,70001,12,22795.0,6.75
United Kingdom,customer28,WOODEN FRAME ANTIQUE WHITE ,2018-05-15,70001,1,82494L,2.55
United Kingdom,customer21,STRAWBERRY   PICNIC BAG,2018-08-28,70002,1,21937,2.95
United Kingdom,customer21,CINNAMON SCENTED VOTIVE CANDLE,2018-08-28,70002,2,85230B,0.29
United Kingdom,customer21,RED STAR CARD HOLDER,2018-08-28,70002,3,22186,2.95
United Kingdom,customer18,SET OF 5 LUCKY CAT MAGNETS ,2018-03-26,70003,12,23158,1.85
United Kingdom,customer18,HOT WATER BOTTLE KEEP CALM,2018-03-26,70003,30,23355,4.95
United Kingdom,customer18,AIRLINE BAG VINTAGE TOKYO 78,2018-03-26,70003,1,22371,4.25
United Kingdom,customer18,VINTAGE SNAP CARDS,2018-03-26,70003,24,21790,0.85
United Kingdom,customer18,JUMBO BAG PINK POLKADOT,2018-03-26,70003,6,22386,1.95
United Kingdom,customer18,RED RETROSPOT CHARLOTTE BAG,2018-03-26,70003,2,20724,1.66
United Kingdom,customer18,PACK OF 72 SKULL CAKE CASES,2018-03-26,70003,36,21213,0.55
United Kingdom,customer18,PAINTED METAL PEARS ASSORTED,2018-03-26,70003,1,21136,1.69
United Kingdom,customer18,HOME SMALL WOOD LETTERS,2018-03-26,70003,2,21363,4.95
United Kingdom,customer18,6 RIBBONS SHIMMERING PINKS ,2018-03-26,70003,6,22074,1.65
United Kingdom,customer18,AREA PATROLLED METAL SIGN,2018-03-26,70003,7,82582,4.21
United Kingdom,customer18,LAUREL HEART ANTIQUE GOLD,2018-03-26,70003,8,23216,1.04
United Kingdom,customer18,HANGING SPRING FLOWER EGG SMALL,2018-03-26,70003,1,85194S,0.65
